Date,Close,TMA,ATR,low_var,high_var,color,Open,High,Low,LN_return
1980-01-21,112.1,100.17102704,0.5954912930013431,0.9978773670038386,0.0021226329961622405,blue,112.1,112.1,112.1,0.008886529054458005
1980-01-22,111.51,100.19839744,0.5952167283512754,0.9969328775196996,0.0030671224803012313,blue,111.51,111.51,111.51,-0.005621224945401842
1980-01-23,113.44,100.22577423999999,0.6619558919337113,0.994737241580738,0.005262758419262867,blue,113.44,113.44,113.44,0.016815621961959827
1980-01-24,113.7,100.25313872000001,0.6418580973370259,0.9973274540798033,0.002672545920197538,blue,113.7,113.7,113.7,0.0019451701281203745
1980-01-25,113.61,100.28051024,0.6142651924701747,0.9981102582605083,0.0018897417394926307,blue,113.61,113.61,113.61,-0.0011360380192400768
1980-01-28,114.85,100.30792783999999,0.6455519328466657,0.9978632452021647,0.002136754797836059,blue,114.85,114.85,114.85,0.010511230708734888
1980-01-29,114.07,100.33540672,0.6522743362043324,0.9982031276605964,0.0017968723394043485,blue,114.07,114.07,114.07,-0.007158801939855087
1980-01-30,115.2,100.36296208,0.6761606193941162,0.9983101521309687,0.0016898478690321656,blue,115.2,115.2,115.2,0.009513285377361411
1980-01-31,115.12,100.39062064000001,0.6943525884244107,0.9987533027247503,0.00124669727525068,blue,115.12,114.16,114.16,-0.0010388535272291611
1980-02-01,115.12,100.41843552,0.6596349590031901,0.998516726795429,0.001483273204571978,blue,115.12,115.12,115.12,-0.0003441678445951158
1980-02-04,114.37,100.44638752,0.6641532110530306,0.9973247898691411,0.002675210130859945,blue,114.37,114.37,114.37,-0.006880423630579866
1980-02-05,114.66,100.47450624,0.6454455505003787,0.9952909193440895,0.004709080655911501,blue,114.66,114.66,114.66,0.002188252842521211
1980-02-06,115.72,100.50277344,0.6661732729753599,0.9896034449358463,0.010396555064154784,blue,115.72,115.72,115.72,0.008858084783065157
1980-02-07,116.28,100.53119392,0.660864609326592,0.981794470308879,0.01820552969112193,blue,116.28,116.28,116.28,0.004483427738163894
1980-02-08,117.95,100.55978047999999,0.7113213788602625,0.9632287854210139,0.036771214578987035,blue,117.95,117.95,117.95,0.013915562318394963
1980-02-11,117.12,100.58848448,0.7172553099172493,0.9541704489222054,0.04582955107779562,blue,117.12,117.12,117.12,-0.007405923485264976
1980-02-12,117.9,100.6173184,0.7203925444213869,0.9372643131890757,0.06273568681092537,blue,117.9,117.9,117.9,0.00629358948575481
1980-02-13,118.44,100.64628944,0.7113729172003171,0.9027329566743315,0.09726704332566949,blue,118.44,118.44,118.44,0.004225527845514138
1980-02-14,116.72,100.67537152,0.7618042713403013,0.8198660723533935,0.1801339276466077,blue,116.72,116.72,116.72,-0.014972766863455778
1980-02-15,115.41,100.70452096000001,0.7892140577732862,0.7848983515039173,0.2151016484960838,blue,115.41,115.41,115.41,-0.0116310666267947
1980-02-19,114.6,100.73374960000001,0.790253354884622,0.7537790633077223,0.24622093669227882,blue,114.6,114.6,114.6,-0.007387368996276115
1980-02-20,116.47,100.76309871999999,0.8442406871403911,0.6968948432151568,0.30310515678484423,blue,116.47,116.47,116.47,0.015841756989374678
1980-02-21,115.28,100.79255599999999,0.8615286527833714,0.6804434099064303,0.3195565900935709,blue,115.28,115.28,115.28,-0.010613945267879137
1980-02-22,115.04,100.82212351999999,0.8304522201442026,0.6619251912208198,0.3380748087791813,blue,115.04,115.04,115.04,-0.0024282255631544996
1980-02-25,113.33,100.85182527999999,0.8744296091369929,0.6050319517344187,0.3949680482655823,blue,113.33,113.33,113.33,-0.015320145072427979
1980-02-26,113.98,100.88166896,0.8632081286801435,0.5854188836138021,0.41458111638619893,blue,113.98,113.98,113.98,0.005374909817371837
1980-02-27,112.38,100.91160032000002,0.9000477222461368,0.5360927919846692,0.46390720801533186,blue,112.38,112.38,112.38,-0.014481176567348843
1980-02-28,112.35,100.94162399999999,0.8565453361338301,0.5145262652732413,0.4854737347267597,blue,112.35,112.35,112.35,-0.0006111548972666185
1980-02-29,113.66,100.97173376,0.8792180693271388,0.44626707806626176,0.553732921933739,green,113.66,113.66,113.66,0.011248369392999114
1980-03-03,112.5,101.00191792000001,0.8932571658607816,0.37938694973441905,0.6206130502655817,green,112.5,112.5,112.5,-0.01060248206904816
1980-03-04,112.78,101.03217856,0.8625943075677427,0.30543884188912823,0.6945611581108724,green,112.78,112.78,112.78,0.0021416288899772933
1980-03-05,111.13,101.06245392,0.9019645921893558,0.10665367024651096,0.8933463297534896,green,111.13,111.13,111.13,-0.015082499026114405
1980-03-06,108.65,101.092712,0.9808663625798875,0.02106668540779405,0.9789333145922066,green,108.65,108.65,108.65,-0.022913148339672413
1980-03-07,106.9,101.12291695999998,1.0193230444508932,0.019909702149133693,0.9800902978508668,green,106.9,106.9,106.9,-0.016582056516000348
