Date,Close,TMA,ATR,low_var,high_var,color,Open,High,Low,LN_return_excess
1979-12-24,107.88,99.67933424,0.5774263098784412,0.9993038957089292,0.0006961042910465763,blue,107.88,107.66,107.66,0.002691791665753871
1979-12-26,107.78,99.70640288,0.5535549943845189,0.9989846464790045,0.0010153535209712623,blue,107.78,107.78,107.78,-0.0009273857661782683
1979-12-27,107.96,99.73361967999999,0.5348772446652926,0.9979945071850519,0.002005492814924032,blue,107.96,107.96,107.96,0.00166867564447497
1979-12-28,107.84,99.7609504,0.5141333824320276,0.9953090228750522,0.004690977124923915,blue,107.84,107.84,107.84,-0.001112140985789835
1979-12-31,107.94,99.78834448,0.49342671331042587,0.9879971326785639,0.012002867321412168,blue,107.94,107.94,107.94,0.0009268700265357818
1980-01-02,105.76,99.8157264,0.5777553776449043,0.9680780176373881,0.03192198236258784,blue,105.76,105.76,105.76,-0.020403141087107137
1980-01-03,105.22,99.84306240000001,0.5758676087626593,0.9724857587947456,0.027514241205230248,blue,105.22,105.22,105.22,-0.0051189798007290985
1980-01-04,106.52,99.87037695999999,0.6120742283245262,0.9721574736219698,0.027842526378006174,blue,106.52,106.52,106.52,0.012279364643083652
1980-01-07,106.81,99.89766064,0.5959705169083002,0.9738511346762433,0.026148865323732604,blue,106.81,106.81,106.81,0.0027187941559083206
1980-01-08,108.95,99.92496192,0.6731719910628852,0.9700615068001505,0.029938493199825424,blue,108.95,108.95,108.95,0.01983750628907697
1980-01-09,109.05,99.95226768,0.6445133915097406,0.9871517748050492,0.012848225194926734,blue,109.05,109.05,109.05,0.0009174312570175133
1980-01-10,109.89,99.979572,0.6542877219342538,0.9932989424929792,0.006701057506996705,blue,109.89,109.89,109.89,0.007673372811176074
1980-01-11,109.92,100.00686512,0.6230733358375412,0.997079267103348,0.0029207328966277973,blue,109.92,109.92,109.92,0.00027296301520627665
1980-01-14,110.38,100.03418304,0.6149196690456639,0.9983802358651622,0.0016197641348136339,blue,110.38,110.38,110.38,0.004176129537303167
1980-01-15,111.14,100.06153408,0.6221736855933809,0.9988581603444441,0.0011418396555316665,blue,111.14,111.14,111.14,0.006861709840387386
1980-01-16,111.05,100.08889872000002,0.595565001313712,0.9992143031652547,0.0007856968347209842,blue,111.05,111.05,111.05,-0.0008101175112969485
1980-01-17,110.7,100.11627056,0.5832867512480261,0.9991786423194466,0.000821357680529131,blue,110.7,110.7,110.7,-0.0031567106258459173
1980-01-18,111.07,100.14365296,0.5726224136856243,0.9988146526780015,0.0011853473219741693,blue,111.07,111.07,111.07,0.003336793464436614
1980-01-21,112.1,100.17102704,0.5954912930013431,0.9978033762809193,0.002196623719056344,blue,112.1,112.1,112.1,0.00923069689905312
1980-01-22,111.51,100.19839744,0.5952167283512754,0.9968787039426202,0.003121296057355516,blue,111.51,111.51,111.51,-0.005277057100806727
1980-01-23,113.44,100.22577423999999,0.6619558919337113,0.9945867422603957,0.005413257739580121,blue,113.44,113.44,113.44,0.017159789806554943
