Date,regime,Volume,Open,High,Low,Close,ema_20,stddev_20,upper_band_1sd,lower_band_1sd,upper_band_1.5sd,lower_band_1.5sd,fib_level_0.236,fib_level_0.382,fib_level_0.618,short_ema,long_ema,MACD_line,signal_line,MACD_histogram,RSI
1979-12-26,blue,24960000,107.78,107.78,107.78,107.78,107.78,,,,,,,,,107.78,107.78,0.0,0.0,0.0,
1979-12-27,blue,31410000,107.96,107.96,107.96,107.96,107.79714285714286,0.12727922061357339,107.92442207775643,107.66986363652929,107.98806168806323,107.60622402622249,,,,107.80769230769232,107.79333333333334,0.014358974358984256,0.0028717948717968513,0.011487179487187405,
1979-12-28,blue,34430000,107.84,107.84,107.84,107.84,107.80122448979591,0.09254506215178465,107.8937695519477,107.70867942764413,107.94004208302358,107.66240689656824,,,,107.8126627218935,107.79679012345679,0.01587259843671518,0.005471955584780517,0.010400642851934663,
1979-12-31,blue,31530000,107.94,107.94,107.94,107.94,107.81444120505344,0.09763042352106775,107.91207162857451,107.71681078153237,107.96088684033505,107.66799556977183,,,,107.83225307237143,107.80739826245998,0.02485480991144584,0.009348526450113583,0.015506283461332258,
1980-01-02,blue,40610000,105.76,105.76,105.76,105.76,107.6187801379055,0.8377940866946836,108.45657422460019,106.78098605121082,108.87547126794753,106.36208900786347,,,,107.5134449073912,107.65573913190738,-0.1422942245161778,-0.020980023743144692,-0.12131420077303309,
1980-01-03,blue,50480000,105.22,105.22,105.22,105.22,107.39032488667641,1.1741032355952283,108.56442812227164,106.21622165108118,109.15147974006925,105.62917003328357,,,,107.16060722933102,107.47531401102536,-0.3147067816943405,-0.07972537533338386,-0.23498140636095666,
1980-01-04,blue,39130000,106.52,106.52,106.52,106.52,107.30743680223104,1.1074954987038463,108.41493230093488,106.1999413035272,108.9686800502868,105.64619355417527,,,,107.0620522709724,107.40455001020868,-0.34249773923627913,-0.13227984811396293,-0.2102178911223162,
1980-01-07,blue,44500000,106.81,106.81,106.81,106.81,107.26006186868523,1.0291462620587717,108.289208130744,106.23091560662645,108.80378126177338,105.71634247559707,,,,107.0232749985151,107.36050926871174,-0.33723427019663177,-0.1732707325304967,-0.16396353766613506,
1980-01-08,blue,53390000,108.95,108.95,108.95,108.95,107.42100835738187,1.108646742837503,108.52965510021937,106.31236161454436,109.08397847163812,105.75803824312561,,,,107.31969422951278,107.47824932288124,-0.15855509336846296,-0.17032760469809,0.011772511329627033,
1980-01-09,blue,65260000,109.05,109.05,109.05,109.05,107.5761504185836,1.1625814450608454,108.73873186364445,106.41356897352274,109.32002258617486,105.83227825099233,,,,107.58589511728005,107.59467529896412,-0.008780181684073796,-0.13801812009528677,0.12923793841121298,
1980-01-10,blue,55980000,109.89,109.89,109.89,109.89,107.79651704538516,1.3198535666396973,109.11637061202485,106.47666347874546,109.7762973953447,105.81673669542562,,,,107.94037279154465,107.7646993508927,0.17567344065194845,-0.07527980794583974,0.2509532485977882,
1980-01-11,blue,52890000,109.92,109.92,109.92,109.92,107.99875351725323,1.4115699373766346,109.41032345462988,106.5871835798766,110.11610842331818,105.88139861118829,,,,108.24493082361471,107.92435125082656,0.32057957278814797,0.0038920682009577906,0.3166875045871902,
